response_id,has_connect_id,recruitment_source,followup_date,intake_created_at,has_consented,is_adult,is_domestic,is_english_proficient,is_eligible,has_completed_tp1,has_completed_tp2,has_completed_tp3,has_passed_attn_tp1,has_passed_attn_tp2,has_passed_attn_tp3,n_followups,n_total,completion_rate,first_followup_at,last_followup_at
R_17Oo2g69nuq7VgZ,true,cloudresearch,2026-06-12,2026-06-09 01:11:54,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_1Jq4aV8CrE1jGRa,true,cloudresearch,2026-06-12,2026-06-03 13:18:36,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_31ZTO7dqcZeF7GR,false,snowball,2026-06-12,2026-05-29 17:22:28,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_33x6mQ08XF29Wrw,true,cloudresearch,2026-06-12,2026-06-05 16:05:51,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_3EoOGMvlsbtK1NQ,true,cloudresearch,2026-06-12,2026-06-09 01:12:13,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_3V46IDNky15cWbM,true,cloudresearch,2026-06-12,2026-06-03 12:45:02,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_3pt7rVzxQVFqgxP,true,cloudresearch,2026-06-12,2026-06-09 01:14:25,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_3sddbK2v9x42E71,true,cloudresearch,2026-06-12,2026-06-03 12:45:56,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_3wsPpJx4OaEalZ7,true,cloudresearch,2026-06-12,2026-06-09 01:18:24,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_57MjMr7SkaJuuXL,true,cloudresearch,2026-06-12,2026-06-09 01:14:29,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_5qqvKw7rFsI6jsu,false,snowball,2026-06-12,2026-06-10 02:19:39,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_60Td7NvQ7rQKzI1,true,cloudresearch,2026-06-12,2026-06-09 01:24:30,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_65AEsOAkpEVPqF0,true,cloudresearch,2026-06-12,2026-06-09 01:17:21,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_6bT8Dg4pipDgl07,true,cloudresearch,2026-06-12,2026-06-03 13:19:48,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_6m2xwzC2O2vEvsF,true,cloudresearch,2026-06-12,2026-06-03 12:49:39,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_7JCtjHuzRb3tJeW,true,cloudresearch,2026-06-12,2026-06-09 01:12:05,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_7c2QHI2KFs6swjT,true,cloudresearch,2026-06-12,2026-06-09 01:30:16,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
R_7gUfA58x5FJ5tTK,true,cloudresearch,2026-06-12,2026-06-03 13:01:16,true,true,true,true,true,false,false,false,,,,0,1,0.0,,
